Restaurant,Food_Name,Nutrients,Calories
Smoothie King,Berry Punch Smoothie,"[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 91, 'attr_id': 205}, {'value': 360, 'attr_id': 208}, {'value': 84, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 95, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 606}]",360
Smoothie King,Lean1 Vanilla Smoothie,"[{'value': 22, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 270, 'attr_id': 208}, {'value': 17, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 320, 'attr_id': 307}, {'value': 5, 'attr_id': 601}, {'value': 1, 'attr_id': 606}]",270
Smoothie King,Immune Builder Smoothie,"[{'value': 5, 'attr_id': 203}, {'value': 1, 'attr_id': 204}, {'value': 89, 'attr_id': 205}, {'value': 380, 'attr_id': 208}, {'value': 77, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 55, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 606}]",380
Smoothie King,Blueberry Heaven Smoothie,"[{'value': 7, 'attr_id': 203}, {'value': 1, 'attr_id': 204}, {'value': 73, 'attr_id': 205}, {'value': 330, 'attr_id': 208}, {'value': 64, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 260, 'attr_id': 307}, {'value': 10, 'attr_id': 601}, {'value': 0, 'attr_id': 606}]",330
Jamba Juice,"Razzmatazz Smoothie, Medium","[{'value': 3, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 91, 'attr_id': 205}, {'value': 390, 'attr_id': 208}, {'value': 74, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 1.44, 'attr_id': 303}, {'value': 55, 'attr_id': 307}, {'value': 200, 'attr_id': 318}, {'value': 54, 'attr_id': 401}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1, 'attr_id': 606}]",390
Jamba Juice,"Chili Mango Smoothie, Medium","[{'value': 3, 'attr_id': 203}, {'value': 2, 'attr_id': 204}, {'value': 94, 'attr_id': 205}, {'value': 410, 'attr_id': 208}, {'value': 89, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 690, 'attr_id': 307}, {'value': 7000, 'attr_id': 318}, {'value': 66, 'attr_id': 401}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0.5, 'attr_id': 606}]",410
Jamba Juice,"Pomegranate Paradise Smoothie, Medium","[{'value': 2, 'attr_id': 203}, {'value': 0.5, 'attr_id': 204}, {'value': 90, 'attr_id': 205}, {'value': 360, 'attr_id': 208}, {'value': 75, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 35, 'attr_id': 307}, {'value': 4500, 'attr_id': 318}, {'value': 78, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",360
Jamba Juice,"Aloha Pineapple Smoothie, Medium","[{'value': 8, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 96, 'attr_id': 205}, {'value': 410, 'attr_id': 208}, {'value': 90, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 40, 'attr_id': 307}, {'value': 200, 'attr_id': 318}, {'value': 90, 'attr_id': 401}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0.5, 'attr_id': 606}]",410
Jamba Juice,"Watermelon Breeze Smoothie, Medium","[{'value': 3, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 101, 'attr_id': 205}, {'value': 420, 'attr_id': 208}, {'value': 82, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 104, 'attr_id': 301}, {'value': 5.4, 'attr_id': 303}, {'value': 50, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 66, 'attr_id': 401}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1, 'attr_id': 606}]",420
Jamba Juice,"Strawberries Wild Smoothie, Medium","[{'value': 5, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 86, 'attr_id': 205}, {'value': 370, 'attr_id': 208}, {'value': 75, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 140, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 48, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",370
Jamba Juice,"Strawberry Whirl Smoothie, Medium","[{'value': 2, 'attr_id': 203}, {'value': 0.5, 'attr_id': 204}, {'value': 77, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 66, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 104, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 25, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 72, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",310
McAlister's Deli,Garden Salad,"[{'value': 18, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 19, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 540, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",310
McAlister's Deli,Grilled Chicken Sandwich,"[{'value': 41, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 47, 'attr_id': 205}, {'value': 560, 'attr_id': 208}, {'value': 12, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 970, 'attr_id': 307}, {'value': 120, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",560
McAlister's Deli,Savannah Chopped Salad,"[{'value': 40, 'attr_id': 203}, {'value': 16, 'attr_id': 204}, {'value': 43, 'attr_id': 205}, {'value': 480, 'attr_id': 208}, {'value': 32, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1000, 'attr_id': 307}, {'value': 90, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",480
McAlister's Deli,Italian Chopped Salad,"[{'value': 33, 'attr_id': 203}, {'value': 42, 'attr_id': 204}, {'value': 16, 'attr_id': 205}, {'value': 570, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 2300, 'attr_id': 307}, {'value': 95, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",570
McAlister's Deli,Garden Fresh Turkey Sandwich,"[{'value': 36, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 78, 'attr_id': 205}, {'value': 670, 'attr_id': 208}, {'value': 14, 'attr_id': 269}, {'value': 10, 'attr_id': 291}, {'value': 2390, 'attr_id': 307}, {'value': 65, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4.5, 'attr_id': 606}]",670
McAlister's Deli,French Onion Chicken Sandwich,"[{'value': 50, 'attr_id': 203}, {'value': 34, 'attr_id': 204}, {'value': 74, 'attr_id': 205}, {'value': 810, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1870, 'attr_id': 307}, {'value': 110, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",810
McAlister's Deli,Southwest Chicken & Avocado Salad,"[{'value': 50, 'attr_id': 203}, {'value': 32, 'attr_id': 204}, {'value': 38, 'attr_id': 205}, {'value': 630, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 9, 'attr_id': 291}, {'value': 1040, 'attr_id': 307}, {'value': 125, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",630
Saladworks,Tivoli,"[{'value': 33, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 32, 'attr_id': 205}, {'value': 430, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 930, 'attr_id': 307}, {'value': 85, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",430
Saladworks,Sophie's Salad,"[{'value': 12, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 35, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 27, 'attr_id': 269}, {'value': 12, 'attr_id': 291}, {'value': 380, 'attr_id': 307}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3, 'attr_id': 606}]",310
Saladworks,Buffalo Chicken Panini,"[{'value': 43, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 56, 'attr_id': 205}, {'value': 660, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 1690, 'attr_id': 307}, {'value': 80, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",660
Saladworks,Chicken Caesar,"[{'value': 42, 'attr_id': 203}, {'value': 4, 'attr_id': 204}, {'value': 19, 'attr_id': 205}, {'value': 290, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 790, 'attr_id': 307}, {'value': 85, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",290
Saladworks,Cobb,"[{'value': 23, 'attr_id': 203}, {'value': 16, 'attr_id': 204}, {'value': 13, 'attr_id': 205}, {'value': 270, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 820, 'attr_id': 307}, {'value': 35, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",270
Saladworks,Turkey Melt,"[{'value': 47, 'attr_id': 203}, {'value': 40, 'attr_id': 204}, {'value': 60, 'attr_id': 205}, {'value': 800, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 1930, 'attr_id': 307}, {'value': 135, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 14, 'attr_id': 606}]",800
Saladworks,Mandarin Chicken,"[{'value': 12, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 37, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 23, 'attr_id': 269}, {'value': 11, 'attr_id': 291}, {'value': 190, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",230
